"Provincias	Condición jurídica	Periodo	Total"
"22 Huesca	Total	2011	16.380"
"22 Huesca	Total	2010	16.550"
"22 Huesca	Total	2009	16.837"
"22 Huesca	Total	2008	17.109"
"22 Huesca	Total	2007	16.694"
"22 Huesca	Total	2006	16.025"
"22 Huesca	Total	2005	15.390"
"22 Huesca	Total	2004	15.078"
"22 Huesca	Total	2003	14.283"
"22 Huesca	Total	2002	13.889"
"22 Huesca	Total	2001	13.575"
"22 Huesca	Total	2000	13.665"
"22 Huesca	Total	1999	13.374"
"22 Huesca	Sociedades anónimas	2024	249"
"22 Huesca	Sociedades anónimas	2023	256"
"22 Huesca	Sociedades anónimas	2022	284"
"22 Huesca	Sociedades anónimas	2021	291"
"22 Huesca	Sociedades anónimas	2020	303"
"22 Huesca	Sociedades anónimas	2019	319"
"22 Huesca	Sociedades anónimas	2018	360"
"22 Huesca	Sociedades anónimas	2017	361"
"22 Huesca	Sociedades anónimas	2016	376"
"22 Huesca	Sociedades anónimas	2015	387"
"22 Huesca	Sociedades anónimas	2014	392"
"22 Huesca	Sociedades anónimas	2013	405"
"22 Huesca	Sociedades anónimas	2012	435"
"22 Huesca	Sociedades anónimas	2011	434"
"22 Huesca	Sociedades anónimas	2010	444"
"22 Huesca	Sociedades anónimas	2009	449"
"22 Huesca	Sociedades anónimas	2008	449"
"22 Huesca	Sociedades anónimas	2007	461"
"22 Huesca	Sociedades anónimas	2006	464"
"22 Huesca	Sociedades anónimas	2005	463"
"22 Huesca	Sociedades anónimas	2004	480"
"22 Huesca	Sociedades anónimas	2003	488"
"22 Huesca	Sociedades anónimas	2002	500"
"22 Huesca	Sociedades anónimas	2001	510"
"22 Huesca	Sociedades anónimas	2000	524"
"22 Huesca	Sociedades anónimas	1999	547"
"22 Huesca	Sociedades de responsabilidad limitada	2024	5.032"
"22 Huesca	Sociedades de responsabilidad limitada	2023	4.971"
"22 Huesca	Sociedades de responsabilidad limitada	2022	5.182"
"22 Huesca	Sociedades de responsabilidad limitada	2021	5.130"
"22 Huesca	Sociedades de responsabilidad limitada	2020	5.217"
"22 Huesca	Sociedades de responsabilidad limitada	2019	5.317"
"22 Huesca	Sociedades de responsabilidad limitada	2018	5.418"
"22 Huesca	Sociedades de responsabilidad limitada	2017	5.310"
"22 Huesca	Sociedades de responsabilidad limitada	2016	5.189"
"22 Huesca	Sociedades de responsabilidad limitada	2015	5.178"
"22 Huesca	Sociedades de responsabilidad limitada	2014	5.134"
"22 Huesca	Sociedades de responsabilidad limitada	2013	5.059"
"22 Huesca	Sociedades de responsabilidad limitada	2012	5.051"
"22 Huesca	Sociedades de responsabilidad limitada	2011	5.049"
"22 Huesca	Sociedades de responsabilidad limitada	2010	5.026"
"22 Huesca	Sociedades de responsabilidad limitada	2009	5.042"
"22 Huesca	Sociedades de responsabilidad limitada	2008	5.001"
"22 Huesca	Sociedades de responsabilidad limitada	2007	4.663"
"22 Huesca	Sociedades de responsabilidad limitada	2006	4.346"
"22 Huesca	Sociedades de responsabilidad limitada	2005	3.972"
"22 Huesca	Sociedades de responsabilidad limitada	2004	3.705"
"22 Huesca	Sociedades de responsabilidad limitada	2003	3.433"
"22 Huesca	Sociedades de responsabilidad limitada	2002	3.174"
"22 Huesca	Sociedades de responsabilidad limitada	2001	2.962"
"22 Huesca	Sociedades de responsabilidad limitada	2000	2.765"
"22 Huesca	Sociedades de responsabilidad limitada	1999	2.550"
"22 Huesca	Sociedades colectivas	2024	2"
"22 Huesca	Sociedades colectivas	2023	2"
"22 Huesca	Sociedades colectivas	2022	3"
"22 Huesca	Sociedades colectivas	2021	3"
"22 Huesca	Sociedades colectivas	2020	3"
"22 Huesca	Sociedades colectivas	2019	4"
"22 Huesca	Sociedades colectivas	2018	6"
"22 Huesca	Sociedades colectivas	2017	6"
"22 Huesca	Sociedades colectivas	2016	6"
"22 Huesca	Sociedades colectivas	2015	7"
"22 Huesca	Sociedades colectivas	2014	7"
"22 Huesca	Sociedades colectivas	2013	7"
"22 Huesca	Sociedades colectivas	2012	8"
"22 Huesca	Sociedades colectivas	2011	9"
"22 Huesca	Sociedades colectivas	2010	9"
"22 Huesca	Sociedades colectivas	2009	10"
"22 Huesca	Sociedades colectivas	2008	10"
"22 Huesca	Sociedades colectivas	2007	12"
"22 Huesca	Sociedades colectivas	2006	13"
"22 Huesca	Sociedades colectivas	2005	12"
"22 Huesca	Sociedades colectivas	2004	12"
"22 Huesca	Sociedades colectivas	2003	12"
"22 Huesca	Sociedades colectivas	2002	15"
"22 Huesca	Sociedades colectivas	2001	16"
"22 Huesca	Sociedades colectivas	2000	17"
"22 Huesca	Sociedades colectivas	1999	18"
"22 Huesca	Sociedades comanditarias	2024	0"
"22 Huesca	Sociedades comanditarias	2023	0"
"22 Huesca	Sociedades comanditarias	2022	0"
"22 Huesca	Sociedades comanditarias	2021	0"
"22 Huesca	Sociedades comanditarias	2020	0"
"22 Huesca	Sociedades comanditarias	2019	0"
"22 Huesca	Sociedades comanditarias	2018	0"
"22 Huesca	Sociedades comanditarias	2017	0"
"22 Huesca	Sociedades comanditarias	2016	0"
"22 Huesca	Sociedades comanditarias	2015	0"
"22 Huesca	Sociedades comanditarias	2014	0"
"22 Huesca	Sociedades comanditarias	2013	0"
"22 Huesca	Sociedades comanditarias	2012	0"
"22 Huesca	Sociedades comanditarias	2011	0"
"22 Huesca	Sociedades comanditarias	2010	0"
"22 Huesca	Sociedades comanditarias	2009	0"
"22 Huesca	Sociedades comanditarias	2008	0"
"22 Huesca	Sociedades comanditarias	2007	0"
"22 Huesca	Sociedades comanditarias	2006	1"
"22 Huesca	Sociedades comanditarias	2005	2"
"22 Huesca	Sociedades comanditarias	2004	2"
"22 Huesca	Sociedades comanditarias	2003	2"
"22 Huesca	Sociedades comanditarias	2002	2"
"22 Huesca	Sociedades comanditarias	2001	1"
"22 Huesca	Sociedades comanditarias	2000	1"
"22 Huesca	Sociedades comanditarias	1999	1"
"22 Huesca	Comunidades de bienes	2024	519"
"22 Huesca	Comunidades de bienes	2023	510"
"22 Huesca	Comunidades de bienes	2022	514"
"22 Huesca	Comunidades de bienes	2021	487"
"22 Huesca	Comunidades de bienes	2020	496"
"22 Huesca	Comunidades de bienes	2019	452"
"22 Huesca	Comunidades de bienes	2018	449"
"22 Huesca	Comunidades de bienes	2017	419"
"22 Huesca	Comunidades de bienes	2016	354"
"22 Huesca	Comunidades de bienes	2015	345"
"22 Huesca	Comunidades de bienes	2014	334"
"22 Huesca	Comunidades de bienes	2013	325"
"22 Huesca	Comunidades de bienes	2012	311"
"22 Huesca	Comunidades de bienes	2011	299"
"22 Huesca	Comunidades de bienes	2010	306"
"22 Huesca	Comunidades de bienes	2009	292"
"22 Huesca	Comunidades de bienes	2008	271"
"22 Huesca	Comunidades de bienes	2007	230"
"22 Huesca	Comunidades de bienes	2006	217"
"22 Huesca	Comunidades de bienes	2005	194"
"22 Huesca	Comunidades de bienes	2004	177"
"22 Huesca	Comunidades de bienes	2003	127"
"22 Huesca	Comunidades de bienes	2002	129"
"22 Huesca	Comunidades de bienes	2001	129"
"22 Huesca	Comunidades de bienes	2000	138"
"22 Huesca	Comunidades de bienes	1999	146"
"22 Huesca	Sociedades cooperativas	2024	108"
"22 Huesca	Sociedades cooperativas	2023	117"
"22 Huesca	Sociedades cooperativas	2022	132"
"22 Huesca	Sociedades cooperativas	2021	132"
"22 Huesca	Sociedades cooperativas	2020	138"
"22 Huesca	Sociedades cooperativas	2019	139"
"22 Huesca	Sociedades cooperativas	2018	142"
"22 Huesca	Sociedades cooperativas	2017	143"
"22 Huesca	Sociedades cooperativas	2016	145"
"22 Huesca	Sociedades cooperativas	2015	147"
"22 Huesca	Sociedades cooperativas	2014	149"
"22 Huesca	Sociedades cooperativas	2013	153"
"22 Huesca	Sociedades cooperativas	2012	161"
"22 Huesca	Sociedades cooperativas	2011	162"
"22 Huesca	Sociedades cooperativas	2010	167"
"22 Huesca	Sociedades cooperativas	2009	175"
"22 Huesca	Sociedades cooperativas	2008	172"
"22 Huesca	Sociedades cooperativas	2007	180"
"22 Huesca	Sociedades cooperativas	2006	184"
"22 Huesca	Sociedades cooperativas	2005	185"
"22 Huesca	Sociedades cooperativas	2004	186"
"22 Huesca	Sociedades cooperativas	2003	185"
"22 Huesca	Sociedades cooperativas	2002	184"
"22 Huesca	Sociedades cooperativas	2001	180"
"22 Huesca	Sociedades cooperativas	2000	170"
"22 Huesca	Sociedades cooperativas	1999	161"
"22 Huesca	Asociaciones y otros tipos	2024	1.610"
"22 Huesca	Asociaciones y otros tipos	2023	1.600"
"22 Huesca	Asociaciones y otros tipos	2022	1.806"
"22 Huesca	Asociaciones y otros tipos	2021	1.808"
"22 Huesca	Asociaciones y otros tipos	2020	1.802"
"22 Huesca	Asociaciones y otros tipos	2019	1.782"
"22 Huesca	Asociaciones y otros tipos	2018	1.775"
"22 Huesca	Asociaciones y otros tipos	2017	1.793"
"22 Huesca	Asociaciones y otros tipos	2016	2.261"
"22 Huesca	Asociaciones y otros tipos	2015	2.394"
"22 Huesca	Asociaciones y otros tipos	2014	2.290"
"22 Huesca	Asociaciones y otros tipos	2013	2.129"
"22 Huesca	Asociaciones y otros tipos	2012	2.132"
"22 Huesca	Asociaciones y otros tipos	2011	2.154"
"22 Huesca	Asociaciones y otros tipos	2010	2.130"
"22 Huesca	Asociaciones y otros tipos	2009	2.161"
"22 Huesca	Asociaciones y otros tipos	2008	2.155"
"22 Huesca	Asociaciones y otros tipos	2007	2.050"
"22 Huesca	Asociaciones y otros tipos	2006	1.999"
"22 Huesca	Asociaciones y otros tipos	2005	1.899"
"22 Huesca	Asociaciones y otros tipos	2004	1.805"
"22 Huesca	Asociaciones y otros tipos	2003	1.653"
"22 Huesca	Asociaciones y otros tipos	2002	1.596"
"22 Huesca	Asociaciones y otros tipos	2001	1.548"
"22 Huesca	Asociaciones y otros tipos	2000	1.527"
"22 Huesca	Asociaciones y otros tipos	1999	1.437"
"22 Huesca	Organismos autónomos y otros	2024	76"
"22 Huesca	Organismos autónomos y otros	2023	74"
"22 Huesca	Organismos autónomos y otros	2022	82"
"22 Huesca	Organismos autónomos y otros	2021	83"
"22 Huesca	Organismos autónomos y otros	2020	86"
"22 Huesca	Organismos autónomos y otros	2019	88"
"22 Huesca	Organismos autónomos y otros	2018	88"
"22 Huesca	Organismos autónomos y otros	2017	88"
"22 Huesca	Organismos autónomos y otros	2016	92"
"22 Huesca	Organismos autónomos y otros	2015	86"
"22 Huesca	Organismos autónomos y otros	2014	82"
"22 Huesca	Organismos autónomos y otros	2013	77"
"22 Huesca	Organismos autónomos y otros	2012	76"
"22 Huesca	Organismos autónomos y otros	2011	75"
"22 Huesca	Organismos autónomos y otros	2010	74"
"22 Huesca	Organismos autónomos y otros	2009	56"
"22 Huesca	Organismos autónomos y otros	2008	53"
"22 Huesca	Organismos autónomos y otros	2007	54"
"22 Huesca	Organismos autónomos y otros	2006	59"
"22 Huesca	Organismos autónomos y otros	2005	60"
"22 Huesca	Organismos autónomos y otros	2004	57"
"22 Huesca	Organismos autónomos y otros	2003	55"
"22 Huesca	Organismos autónomos y otros	2002	37"
"22 Huesca	Organismos autónomos y otros	2001	36"
"22 Huesca	Organismos autónomos y otros	2000	36"
"22 Huesca	Organismos autónomos y otros	1999	34"
"22 Huesca	Personas físicas	2024	8.070"
"22 Huesca	Personas físicas	2023	8.116"
"22 Huesca	Personas físicas	2022	8.385"
"22 Huesca	Personas físicas	2021	8.218"
"22 Huesca	Personas físicas	2020	8.496"
"22 Huesca	Personas físicas	2019	8.358"
"22 Huesca	Personas físicas	2018	8.265"
"22 Huesca	Personas físicas	2017	8.344"
"22 Huesca	Personas físicas	2016	7.973"
"22 Huesca	Personas físicas	2015	7.761"
"22 Huesca	Personas físicas	2014	7.587"
"22 Huesca	Personas físicas	2013	7.805"
"22 Huesca	Personas físicas	2012	7.977"
"22 Huesca	Personas físicas	2011	8.198"
"22 Huesca	Personas físicas	2010	8.394"
"22 Huesca	Personas físicas	2009	8.652"
"22 Huesca	Personas físicas	2008	8.998"
"22 Huesca	Personas físicas	2007	9.044"
"22 Huesca	Personas físicas	2006	8.742"
"22 Huesca	Personas físicas	2005	8.603"
"22 Huesca	Personas físicas	2004	8.654"
"22 Huesca	Personas físicas	2003	8.328"
"22 Huesca	Personas físicas	2002	8.252"
"22 Huesca	Personas físicas	2001	8.193"
"22 Huesca	Personas físicas	2000	8.487"
"22 Huesca	Personas físicas	1999	8.480"
"23 Jaén	Total	2024	33.645"
"23 Jaén	Total	2023	33.777"
"23 Jaén	Total	2022	35.363"
"23 Jaén	Total	2021	34.754"
"23 Jaén	Total	2020	34.791"
"23 Jaén	Total	2019	34.191"
"23 Jaén	Total	2018	34.030"
"23 Jaén	Total	2017	33.842"
"23 Jaén	Total	2016	33.250"
"23 Jaén	Total	2015	33.016"
"23 Jaén	Total	2014	32.704"
"23 Jaén	Total	2013	33.172"
"23 Jaén	Total	2012	34.000"
"23 Jaén	Total	2011	34.945"
"23 Jaén	Total	2010	35.758"
"23 Jaén	Total	2009	36.557"
"23 Jaén	Total	2008	37.368"
"23 Jaén	Total	2007	36.962"
"23 Jaén	Total	2006	35.383"
"23 Jaén	Total	2005	34.675"
"23 Jaén	Total	2004	33.157"
"23 Jaén	Total	2003	32.444"
"23 Jaén	Total	2002	31.576"
"23 Jaén	Total	2001	31.024"
"23 Jaén	Total	2000	30.829"
"23 Jaén	Total	1999	30.077"
"23 Jaén	Sociedades anónimas	2024	190"
"23 Jaén	Sociedades anónimas	2023	198"
"23 Jaén	Sociedades anónimas	2022	223"
"23 Jaén	Sociedades anónimas	2021	231"
"23 Jaén	Sociedades anónimas	2020	243"
"23 Jaén	Sociedades anónimas	2019	265"
"23 Jaén	Sociedades anónimas	2018	305"
"23 Jaén	Sociedades anónimas	2017	319"
"23 Jaén	Sociedades anónimas	2016	329"
"23 Jaén	Sociedades anónimas	2015	348"
"23 Jaén	Sociedades anónimas	2014	372"
"23 Jaén	Sociedades anónimas	2013	392"
"23 Jaén	Sociedades anónimas	2012	411"
"23 Jaén	Sociedades anónimas	2011	423"
"23 Jaén	Sociedades anónimas	2010	433"
"23 Jaén	Sociedades anónimas	2009	455"
"23 Jaén	Sociedades anónimas	2008	462"
"23 Jaén	Sociedades anónimas	2007	468"
"23 Jaén	Sociedades anónimas	2006	478"
"23 Jaén	Sociedades anónimas	2005	493"
"23 Jaén	Sociedades anónimas	2004	488"
"23 Jaén	Sociedades anónimas	2003	500"
"23 Jaén	Sociedades anónimas	2002	509"
"23 Jaén	Sociedades anónimas	2001	516"
"23 Jaén	Sociedades anónimas	2000	531"
"23 Jaén	Sociedades anónimas	1999	538"
"23 Jaén	Sociedades de responsabilidad limitada	2024	7.801"
"23 Jaén	Sociedades de responsabilidad limitada	2023	7.733"
"23 Jaén	Sociedades de responsabilidad limitada	2022	8.176"
"23 Jaén	Sociedades de responsabilidad limitada	2021	8.051"
"23 Jaén	Sociedades de responsabilidad limitada	2020	7.995"
"23 Jaén	Sociedades de responsabilidad limitada	2019	8.038"
"23 Jaén	Sociedades de responsabilidad limitada	2018	8.225"
"23 Jaén	Sociedades de responsabilidad limitada	2017	8.192"
"23 Jaén	Sociedades de responsabilidad limitada	2016	8.060"
"23 Jaén	Sociedades de responsabilidad limitada	2015	8.022"
"23 Jaén	Sociedades de responsabilidad limitada	2014	8.096"
"23 Jaén	Sociedades de responsabilidad limitada	2013	8.025"
"23 Jaén	Sociedades de responsabilidad limitada	2012	8.187"
"23 Jaén	Sociedades de responsabilidad limitada	2011	8.361"
"23 Jaén	Sociedades de responsabilidad limitada	2010	8.417"
"23 Jaén	Sociedades de responsabilidad limitada	2009	8.540"
"23 Jaén	Sociedades de responsabilidad limitada	2008	8.572"
"23 Jaén	Sociedades de responsabilidad limitada	2007	8.164"
"23 Jaén	Sociedades de responsabilidad limitada	2006	7.557"
"23 Jaén	Sociedades de responsabilidad limitada	2005	6.985"
"23 Jaén	Sociedades de responsabilidad limitada	2004	6.330"
"23 Jaén	Sociedades de responsabilidad limitada	2003	5.897"
"23 Jaén	Sociedades de responsabilidad limitada	2002	5.475"
"23 Jaén	Sociedades de responsabilidad limitada	2001	5.118"
"23 Jaén	Sociedades de responsabilidad limitada	2000	4.686"
"23 Jaén	Sociedades de responsabilidad limitada	1999	4.289"
"23 Jaén	Sociedades colectivas	2024	1"
"23 Jaén	Sociedades colectivas	2023	1"
"23 Jaén	Sociedades colectivas	2022	1"
"23 Jaén	Sociedades colectivas	2021	1"
"23 Jaén	Sociedades colectivas	2020	1"
"23 Jaén	Sociedades colectivas	2019	1"
"23 Jaén	Sociedades colectivas	2018	1"
"23 Jaén	Sociedades colectivas	2017	1"
"23 Jaén	Sociedades colectivas	2016	2"
"23 Jaén	Sociedades colectivas	2015	2"
"23 Jaén	Sociedades colectivas	2014	2"
"23 Jaén	Sociedades colectivas	2013	2"
"23 Jaén	Sociedades colectivas	2012	2"
"23 Jaén	Sociedades colectivas	2011	2"
"23 Jaén	Sociedades colectivas	2010	2"
"23 Jaén	Sociedades colectivas	2009	2"
"23 Jaén	Sociedades colectivas	2008	2"
"23 Jaén	Sociedades colectivas	2007	2"
"23 Jaén	Sociedades colectivas	2006	2"
"23 Jaén	Sociedades colectivas	2005	3"
"23 Jaén	Sociedades colectivas	2004	4"
"23 Jaén	Sociedades colectivas	2003	3"
"23 Jaén	Sociedades colectivas	2002	4"
"23 Jaén	Sociedades colectivas	2001	4"
"23 Jaén	Sociedades colectivas	2000	3"
"23 Jaén	Sociedades colectivas	1999	4"
"23 Jaén	Sociedades comanditarias	2024	0"
"23 Jaén	Sociedades comanditarias	2023	0"
"23 Jaén	Sociedades comanditarias	2022	0"
"23 Jaén	Sociedades comanditarias	2021	0"
"23 Jaén	Sociedades comanditarias	2020	0"
"23 Jaén	Sociedades comanditarias	2019	0"
"23 Jaén	Sociedades comanditarias	2018	0"
"23 Jaén	Sociedades comanditarias	2017	0"
"23 Jaén	Sociedades comanditarias	2016	0"
"23 Jaén	Sociedades comanditarias	2015	0"
"23 Jaén	Sociedades comanditarias	2014	0"
"23 Jaén	Sociedades comanditarias	2013	0"
"23 Jaén	Sociedades comanditarias	2012	0"
"23 Jaén	Sociedades comanditarias	2011	0"
"23 Jaén	Sociedades comanditarias	2010	0"
"23 Jaén	Sociedades comanditarias	2009	0"
"23 Jaén	Sociedades comanditarias	2008	0"
"23 Jaén	Sociedades comanditarias	2007	0"
"23 Jaén	Sociedades comanditarias	2006	0"
"23 Jaén	Sociedades comanditarias	2005	0"
"23 Jaén	Sociedades comanditarias	2004	0"
"23 Jaén	Sociedades comanditarias	2003	0"
"23 Jaén	Sociedades comanditarias	2002	0"
"23 Jaén	Sociedades comanditarias	2001	0"
"23 Jaén	Sociedades comanditarias	2000	0"
"23 Jaén	Sociedades comanditarias	1999	0"
"23 Jaén	Comunidades de bienes	2024	1.429"
"23 Jaén	Comunidades de bienes	2023	1.417"
"23 Jaén	Comunidades de bienes	2022	1.511"
"23 Jaén	Comunidades de bienes	2021	1.520"
"23 Jaén	Comunidades de bienes	2020	1.589"
"23 Jaén	Comunidades de bienes	2019	1.601"
"23 Jaén	Comunidades de bienes	2018	1.639"
"23 Jaén	Comunidades de bienes	2017	1.687"
"23 Jaén	Comunidades de bienes	2016	1.802"
"23 Jaén	Comunidades de bienes	2015	1.880"
"23 Jaén	Comunidades de bienes	2014	1.845"
"23 Jaén	Comunidades de bienes	2013	1.786"
"23 Jaén	Comunidades de bienes	2012	1.909"
"23 Jaén	Comunidades de bienes	2011	2.001"
"23 Jaén	Comunidades de bienes	2010	2.011"
"23 Jaén	Comunidades de bienes	2009	2.064"
"23 Jaén	Comunidades de bienes	2008	2.143"
"23 Jaén	Comunidades de bienes	2007	2.078"
"23 Jaén	Comunidades de bienes	2006	2.008"
"23 Jaén	Comunidades de bienes	2005	1.888"
"23 Jaén	Comunidades de bienes	2004	1.827"
"23 Jaén	Comunidades de bienes	2003	1.700"
"23 Jaén	Comunidades de bienes	2002	1.638"
"23 Jaén	Comunidades de bienes	2001	1.558"
"23 Jaén	Comunidades de bienes	2000	1.494"
"23 Jaén	Comunidades de bienes	1999	1.474"
"23 Jaén	Sociedades cooperativas	2024	487"
"23 Jaén	Sociedades cooperativas	2023	498"
"23 Jaén	Sociedades cooperativas	2022	530"
"23 Jaén	Sociedades cooperativas	2021	510"
"23 Jaén	Sociedades cooperativas	2020	507"
"23 Jaén	Sociedades cooperativas	2019	502"
"23 Jaén	Sociedades cooperativas	2018	505"
"23 Jaén	Sociedades cooperativas	2017	518"
"23 Jaén	Sociedades cooperativas	2016	524"
"23 Jaén	Sociedades cooperativas	2015	537"
"23 Jaén	Sociedades cooperativas	2014	549"
"23 Jaén	Sociedades cooperativas	2013	569"
"23 Jaén	Sociedades cooperativas	2012	591"
"23 Jaén	Sociedades cooperativas	2011	626"
"23 Jaén	Sociedades cooperativas	2010	654"
"23 Jaén	Sociedades cooperativas	2009	683"
"23 Jaén	Sociedades cooperativas	2008	729"
"23 Jaén	Sociedades cooperativas	2007	736"
"23 Jaén	Sociedades cooperativas	2006	754"
"23 Jaén	Sociedades cooperativas	2005	744"
"23 Jaén	Sociedades cooperativas	2004	708"
"23 Jaén	Sociedades cooperativas	2003	726"
"23 Jaén	Sociedades cooperativas	2002	695"
"23 Jaén	Sociedades cooperativas	2001	653"
"23 Jaén	Sociedades cooperativas	2000	603"
"23 Jaén	Sociedades cooperativas	1999	597"
"23 Jaén	Asociaciones y otros tipos	2024	970"
"23 Jaén	Asociaciones y otros tipos	2023	945"
"23 Jaén	Asociaciones y otros tipos	2022	1.007"
"23 Jaén	Asociaciones y otros tipos	2021	978"
"23 Jaén	Asociaciones y otros tipos	2020	1.015"
"23 Jaén	Asociaciones y otros tipos	2019	967"
"23 Jaén	Asociaciones y otros tipos	2018	959"
"23 Jaén	Asociaciones y otros tipos	2017	895"
"23 Jaén	Asociaciones y otros tipos	2016	844"
"23 Jaén	Asociaciones y otros tipos	2015	799"
"23 Jaén	Asociaciones y otros tipos	2014	795"
"23 Jaén	Asociaciones y otros tipos	2013	695"
"23 Jaén	Asociaciones y otros tipos	2012	752"
"23 Jaén	Asociaciones y otros tipos	2011	773"
"23 Jaén	Asociaciones y otros tipos	2010	764"
"23 Jaén	Asociaciones y otros tipos	2009	588"
"23 Jaén	Asociaciones y otros tipos	2008	566"
"23 Jaén	Asociaciones y otros tipos	2007	520"
"23 Jaén	Asociaciones y otros tipos	2006	489"
"23 Jaén	Asociaciones y otros tipos	2005	442"
"23 Jaén	Asociaciones y otros tipos	2004	415"
"23 Jaén	Asociaciones y otros tipos	2003	351"
"23 Jaén	Asociaciones y otros tipos	2002	290"
"23 Jaén	Asociaciones y otros tipos	2001	268"
"23 Jaén	Asociaciones y otros tipos	2000	255"
"23 Jaén	Asociaciones y otros tipos	1999	204"
"23 Jaén	Organismos autónomos y otros	2024	106"
"23 Jaén	Organismos autónomos y otros	2023	106"
"23 Jaén	Organismos autónomos y otros	2022	112"
"23 Jaén	Organismos autónomos y otros	2021	108"
"23 Jaén	Organismos autónomos y otros	2020	105"
"23 Jaén	Organismos autónomos y otros	2019	103"
"23 Jaén	Organismos autónomos y otros	2018	105"
"23 Jaén	Organismos autónomos y otros	2017	102"
"23 Jaén	Organismos autónomos y otros	2016	100"
"23 Jaén	Organismos autónomos y otros	2015	102"
"23 Jaén	Organismos autónomos y otros	2014	99"
"23 Jaén	Organismos autónomos y otros	2013	100"
"23 Jaén	Organismos autónomos y otros	2012	101"
"23 Jaén	Organismos autónomos y otros	2011	115"
"23 Jaén	Organismos autónomos y otros	2010	111"
"23 Jaén	Organismos autónomos y otros	2009	114"
"23 Jaén	Organismos autónomos y otros	2008	115"
"23 Jaén	Organismos autónomos y otros	2007	112"
"23 Jaén	Organismos autónomos y otros	2006	117"
"23 Jaén	Organismos autónomos y otros	2005	119"
"23 Jaén	Organismos autónomos y otros	2004	116"
"23 Jaén	Organismos autónomos y otros	2003	96"
"23 Jaén	Organismos autónomos y otros	2002	65"
"23 Jaén	Organismos autónomos y otros	2001	66"
"23 Jaén	Organismos autónomos y otros	2000	67"
"23 Jaén	Organismos autónomos y otros	1999	65"
"23 Jaén	Personas físicas	2024	22.661"
"23 Jaén	Personas físicas	2023	22.879"
"23 Jaén	Personas físicas	2022	23.803"
"23 Jaén	Personas físicas	2021	23.355"
"23 Jaén	Personas físicas	2020	23.336"
"23 Jaén	Personas físicas	2019	22.714"
"23 Jaén	Personas físicas	2018	22.291"
"23 Jaén	Personas físicas	2017	22.128"
"23 Jaén	Personas físicas	2016	21.589"
"23 Jaén	Personas físicas	2015	21.326"
"23 Jaén	Personas físicas	2014	20.946"
"23 Jaén	Personas físicas	2013	21.603"
"23 Jaén	Personas físicas	2012	22.047"
"23 Jaén	Personas físicas	2011	22.644"
"23 Jaén	Personas físicas	2010	23.366"
"23 Jaén	Personas físicas	2009	24.111"
"23 Jaén	Personas físicas	2008	24.779"
"23 Jaén	Personas físicas	2007	24.882"
"23 Jaén	Personas físicas	2006	23.978"
"23 Jaén	Personas físicas	2005	24.001"
"23 Jaén	Personas físicas	2004	23.269"
"23 Jaén	Personas físicas	2003	23.171"
"23 Jaén	Personas físicas	2002	22.900"
"23 Jaén	Personas físicas	2001	22.841"
"23 Jaén	Personas físicas	2000	23.190"
"23 Jaén	Personas físicas	1999	22.906"
"24 León	Total	2024	27.825"
"24 León	Total	2023	27.952"
"24 León	Total	2022	30.067"
"24 León	Total	2021	30.006"
"24 León	Total	2020	30.838"
"24 León	Total	2019	31.151"
"24 León	Total	2018	31.276"
"24 León	Total	2017	31.173"
"24 León	Total	2016	31.427"
"24 León	Total	2015	31.387"
"24 León	Total	2014	31.134"
"24 León	Total	2013	31.620"
"24 León	Total	2012	32.386"
"24 León	Total	2011	32.669"
"24 León	Total	2010	33.126"
"24 León	Total	2009	33.564"
"24 León	Total	2008	34.012"
"24 León	Total	2007	33.563"
"24 León	Total	2006	32.359"
"24 León	Total	2005	31.664"
"24 León	Total	2004	30.992"
"24 León	Total	2003	30.256"
"24 León	Total	2002	29.611"
"24 León	Total	2001	29.381"
"24 León	Total	2000	29.297"
"24 León	Total	1999	28.736"
"24 León	Sociedades anónimas	2024	395"
"24 León	Sociedades anónimas	2023	395"
"24 León	Sociedades anónimas	2022	454"
"24 León	Sociedades anónimas	2021	472"
"24 León	Sociedades anónimas	2020	499"
"24 León	Sociedades anónimas	2019	541"
"24 León	Sociedades anónimas	2018	610"
"24 León	Sociedades anónimas	2017	623"
"24 León	Sociedades anónimas	2016	664"
"24 León	Sociedades anónimas	2015	713"
"24 León	Sociedades anónimas	2014	753"
"24 León	Sociedades anónimas	2013	781"
"24 León	Sociedades anónimas	2012	818"
"24 León	Sociedades anónimas	2011	841"
"24 León	Sociedades anónimas	2010	851"
"24 León	Sociedades anónimas	2009	880"
"24 León	Sociedades anónimas	2008	891"
"24 León	Sociedades anónimas	2007	891"
"24 León	Sociedades anónimas	2006	886"
"24 León	Sociedades anónimas	2005	891"
"24 León	Sociedades anónimas	2004	878"
"24 León	Sociedades anónimas	2003	868"
"24 León	Sociedades anónimas	2002	885"
"24 León	Sociedades anónimas	2001	881"
"24 León	Sociedades anónimas	2000	880"
"24 León	Sociedades anónimas	1999	866"
"24 León	Sociedades de responsabilidad limitada	2024	8.293"
"24 León	Sociedades de responsabilidad limitada	2023	8.289"
"24 León	Sociedades de responsabilidad limitada	2022	9.185"
"24 León	Sociedades de responsabilidad limitada	2021	9.176"
"24 León	Sociedades de responsabilidad limitada	2020	9.330"
"24 León	Sociedades de responsabilidad limitada	2019	9.591"
"24 León	Sociedades de responsabilidad limitada	2018	9.721"
