"Provincias	Condición jurídica	Periodo	Total"
"Total Nacional	Sociedades cooperativas	2003	25.679"
"Total Nacional	Sociedades cooperativas	2002	24.867"
"Total Nacional	Sociedades cooperativas	2001	24.210"
"Total Nacional	Sociedades cooperativas	2000	23.456"
"Total Nacional	Sociedades cooperativas	1999	23.110"
"Total Nacional	Asociaciones y otros tipos	2024	138.229"
"Total Nacional	Asociaciones y otros tipos	2023	134.211"
"Total Nacional	Asociaciones y otros tipos	2022	152.263"
"Total Nacional	Asociaciones y otros tipos	2021	149.002"
"Total Nacional	Asociaciones y otros tipos	2020	150.701"
"Total Nacional	Asociaciones y otros tipos	2019	147.010"
"Total Nacional	Asociaciones y otros tipos	2018	145.405"
"Total Nacional	Asociaciones y otros tipos	2017	145.834"
"Total Nacional	Asociaciones y otros tipos	2016	171.019"
"Total Nacional	Asociaciones y otros tipos	2015	178.588"
"Total Nacional	Asociaciones y otros tipos	2014	172.323"
"Total Nacional	Asociaciones y otros tipos	2013	166.174"
"Total Nacional	Asociaciones y otros tipos	2012	172.495"
"Total Nacional	Asociaciones y otros tipos	2011	171.268"
"Total Nacional	Asociaciones y otros tipos	2010	168.364"
"Total Nacional	Asociaciones y otros tipos	2009	164.284"
"Total Nacional	Asociaciones y otros tipos	2008	158.730"
"Total Nacional	Asociaciones y otros tipos	2007	147.901"
"Total Nacional	Asociaciones y otros tipos	2006	136.286"
"Total Nacional	Asociaciones y otros tipos	2005	127.414"
"Total Nacional	Asociaciones y otros tipos	2004	118.413"
"Total Nacional	Asociaciones y otros tipos	2003	107.559"
"Total Nacional	Asociaciones y otros tipos	2002	97.501"
"Total Nacional	Asociaciones y otros tipos	2001	91.386"
"Total Nacional	Asociaciones y otros tipos	2000	86.070"
"Total Nacional	Asociaciones y otros tipos	1999	77.263"
"Total Nacional	Organismos autónomos y otros	2024	8.652"
"Total Nacional	Organismos autónomos y otros	2023	8.635"
"Total Nacional	Organismos autónomos y otros	2022	8.964"
"Total Nacional	Organismos autónomos y otros	2021	8.949"
"Total Nacional	Organismos autónomos y otros	2020	9.024"
"Total Nacional	Organismos autónomos y otros	2019	8.928"
"Total Nacional	Organismos autónomos y otros	2018	8.885"
"Total Nacional	Organismos autónomos y otros	2017	8.863"
"Total Nacional	Organismos autónomos y otros	2016	8.826"
"Total Nacional	Organismos autónomos y otros	2015	8.777"
"Total Nacional	Organismos autónomos y otros	2014	8.743"
"Total Nacional	Organismos autónomos y otros	2013	8.717"
"Total Nacional	Organismos autónomos y otros	2012	8.631"
"Total Nacional	Organismos autónomos y otros	2011	8.630"
"Total Nacional	Organismos autónomos y otros	2010	8.546"
"Total Nacional	Organismos autónomos y otros	2009	8.794"
"Total Nacional	Organismos autónomos y otros	2008	8.730"
"Total Nacional	Organismos autónomos y otros	2007	8.542"
"Total Nacional	Organismos autónomos y otros	2006	8.464"
"Total Nacional	Organismos autónomos y otros	2005	8.355"
"Total Nacional	Organismos autónomos y otros	2004	8.313"
"Total Nacional	Organismos autónomos y otros	2003	7.973"
"Total Nacional	Organismos autónomos y otros	2002	5.559"
"Total Nacional	Organismos autónomos y otros	2001	5.533"
"Total Nacional	Organismos autónomos y otros	2000	5.548"
"Total Nacional	Organismos autónomos y otros	1999	5.330"
"Total Nacional	Personas físicas	2024	1.838.474"
"Total Nacional	Personas físicas	2023	1.831.133"
"Total Nacional	Personas físicas	2022	1.912.800"
"Total Nacional	Personas físicas	2021	1.879.120"
"Total Nacional	Personas físicas	2020	1.899.810"
"Total Nacional	Personas físicas	2019	1.847.996"
"Total Nacional	Personas físicas	2018	1.786.037"
"Total Nacional	Personas físicas	2017	1.747.159"
"Total Nacional	Personas físicas	2016	1.681.838"
"Total Nacional	Personas físicas	2015	1.626.938"
"Total Nacional	Personas físicas	2014	1.574.729"
"Total Nacional	Personas físicas	2013	1.619.614"
"Total Nacional	Personas físicas	2012	1.656.467"
"Total Nacional	Personas físicas	2011	1.706.565"
"Total Nacional	Personas físicas	2010	1.745.912"
"Total Nacional	Personas físicas	2009	1.793.897"
"Total Nacional	Personas físicas	2008	1.857.931"
"Total Nacional	Personas físicas	2007	1.853.012"
"Total Nacional	Personas físicas	2006	1.791.126"
"Total Nacional	Personas físicas	2005	1.767.265"
"Total Nacional	Personas físicas	2004	1.738.456"
"Total Nacional	Personas físicas	2003	1.694.543"
"Total Nacional	Personas físicas	2002	1.662.183"
"Total Nacional	Personas físicas	2001	1.651.265"
"Total Nacional	Personas físicas	2000	1.662.679"
"Total Nacional	Personas físicas	1999	1.647.699"
"02 Albacete	Total	2024	24.868"
"02 Albacete	Total	2023	24.852"
"02 Albacete	Total	2022	26.473"
"02 Albacete	Total	2021	26.221"
"02 Albacete	Total	2020	26.350"
"02 Albacete	Total	2019	26.275"
"02 Albacete	Total	2018	26.743"
"02 Albacete	Total	2017	26.921"
"02 Albacete	Total	2016	26.884"
"02 Albacete	Total	2015	26.701"
"02 Albacete	Total	2014	26.184"
"02 Albacete	Total	2013	26.030"
"02 Albacete	Total	2012	26.400"
"02 Albacete	Total	2011	26.839"
"02 Albacete	Total	2010	27.256"
"02 Albacete	Total	2009	27.380"
"02 Albacete	Total	2008	27.647"
"02 Albacete	Total	2007	27.068"
"02 Albacete	Total	2006	25.531"
"02 Albacete	Total	2005	24.685"
"02 Albacete	Total	2004	23.550"
"02 Albacete	Total	2003	22.547"
"02 Albacete	Total	2002	21.875"
"02 Albacete	Total	2001	21.451"
"02 Albacete	Total	2000	21.241"
"02 Albacete	Total	1999	20.836"
"02 Albacete	Sociedades anónimas	2024	305"
"02 Albacete	Sociedades anónimas	2023	309"
"02 Albacete	Sociedades anónimas	2022	368"
"02 Albacete	Sociedades anónimas	2021	387"
"02 Albacete	Sociedades anónimas	2020	405"
"02 Albacete	Sociedades anónimas	2019	434"
"02 Albacete	Sociedades anónimas	2018	487"
"02 Albacete	Sociedades anónimas	2017	488"
"02 Albacete	Sociedades anónimas	2016	517"
"02 Albacete	Sociedades anónimas	2015	551"
"02 Albacete	Sociedades anónimas	2014	579"
"02 Albacete	Sociedades anónimas	2013	603"
"02 Albacete	Sociedades anónimas	2012	636"
"02 Albacete	Sociedades anónimas	2011	645"
"02 Albacete	Sociedades anónimas	2010	655"
"02 Albacete	Sociedades anónimas	2009	662"
"02 Albacete	Sociedades anónimas	2008	680"
"02 Albacete	Sociedades anónimas	2007	714"
"02 Albacete	Sociedades anónimas	2006	728"
"02 Albacete	Sociedades anónimas	2005	733"
"02 Albacete	Sociedades anónimas	2004	732"
"02 Albacete	Sociedades anónimas	2003	736"
"02 Albacete	Sociedades anónimas	2002	751"
"02 Albacete	Sociedades anónimas	2001	782"
"02 Albacete	Sociedades anónimas	2000	817"
"02 Albacete	Sociedades anónimas	1999	830"
"02 Albacete	Sociedades de responsabilidad limitada	2024	8.425"
"02 Albacete	Sociedades de responsabilidad limitada	2023	8.365"
"02 Albacete	Sociedades de responsabilidad limitada	2022	9.133"
"02 Albacete	Sociedades de responsabilidad limitada	2021	9.047"
"02 Albacete	Sociedades de responsabilidad limitada	2020	9.167"
"02 Albacete	Sociedades de responsabilidad limitada	2019	9.327"
"02 Albacete	Sociedades de responsabilidad limitada	2018	10.078"
"02 Albacete	Sociedades de responsabilidad limitada	2017	10.034"
"02 Albacete	Sociedades de responsabilidad limitada	2016	10.148"
"02 Albacete	Sociedades de responsabilidad limitada	2015	10.221"
"02 Albacete	Sociedades de responsabilidad limitada	2014	10.226"
"02 Albacete	Sociedades de responsabilidad limitada	2013	10.086"
"02 Albacete	Sociedades de responsabilidad limitada	2012	10.199"
"02 Albacete	Sociedades de responsabilidad limitada	2011	10.220"
"02 Albacete	Sociedades de responsabilidad limitada	2010	10.287"
"02 Albacete	Sociedades de responsabilidad limitada	2009	10.277"
"02 Albacete	Sociedades de responsabilidad limitada	2008	9.572"
"02 Albacete	Sociedades de responsabilidad limitada	2007	8.973"
"02 Albacete	Sociedades de responsabilidad limitada	2006	8.291"
"02 Albacete	Sociedades de responsabilidad limitada	2005	7.655"
"02 Albacete	Sociedades de responsabilidad limitada	2004	7.051"
"02 Albacete	Sociedades de responsabilidad limitada	2003	6.536"
"02 Albacete	Sociedades de responsabilidad limitada	2002	6.160"
"02 Albacete	Sociedades de responsabilidad limitada	2001	5.758"
"02 Albacete	Sociedades de responsabilidad limitada	2000	5.328"
"02 Albacete	Sociedades de responsabilidad limitada	1999	4.853"
"02 Albacete	Sociedades colectivas	2024	0"
"02 Albacete	Sociedades colectivas	2023	0"
"02 Albacete	Sociedades colectivas	2022	0"
"02 Albacete	Sociedades colectivas	2021	0"
"02 Albacete	Sociedades colectivas	2020	0"
"02 Albacete	Sociedades colectivas	2019	0"
"02 Albacete	Sociedades colectivas	2018	0"
"02 Albacete	Sociedades colectivas	2017	0"
"02 Albacete	Sociedades colectivas	2016	0"
"02 Albacete	Sociedades colectivas	2015	0"
"02 Albacete	Sociedades colectivas	2014	0"
"02 Albacete	Sociedades colectivas	2013	0"
"02 Albacete	Sociedades colectivas	2012	0"
"02 Albacete	Sociedades colectivas	2011	0"
"02 Albacete	Sociedades colectivas	2010	0"
"02 Albacete	Sociedades colectivas	2009	0"
"02 Albacete	Sociedades colectivas	2008	0"
"02 Albacete	Sociedades colectivas	2007	0"
"02 Albacete	Sociedades colectivas	2006	0"
"02 Albacete	Sociedades colectivas	2005	0"
"02 Albacete	Sociedades colectivas	2004	0"
"02 Albacete	Sociedades colectivas	2003	0"
"02 Albacete	Sociedades colectivas	2002	0"
"02 Albacete	Sociedades colectivas	2001	0"
"02 Albacete	Sociedades colectivas	2000	0"
"02 Albacete	Sociedades colectivas	1999	0"
"02 Albacete	Sociedades comanditarias	2024	0"
"02 Albacete	Sociedades comanditarias	2023	0"
"02 Albacete	Sociedades comanditarias	2022	0"
"02 Albacete	Sociedades comanditarias	2021	0"
"02 Albacete	Sociedades comanditarias	2020	0"
"02 Albacete	Sociedades comanditarias	2019	0"
"02 Albacete	Sociedades comanditarias	2018	0"
"02 Albacete	Sociedades comanditarias	2017	0"
"02 Albacete	Sociedades comanditarias	2016	0"
"02 Albacete	Sociedades comanditarias	2015	0"
"02 Albacete	Sociedades comanditarias	2014	0"
"02 Albacete	Sociedades comanditarias	2013	0"
"02 Albacete	Sociedades comanditarias	2012	0"
"02 Albacete	Sociedades comanditarias	2011	0"
"02 Albacete	Sociedades comanditarias	2010	0"
